,rank,menu,cafe,title,link
0,1,BLT,Old Oak Tap,Old Oak Tap BLT,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Oak-Tap-BLT/
1,2,Fried Bologna,Au Cheval,Au Cheval Fried Bologna,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Au-Cheval-Fried-Bologna/
2,3,Woodland Mushroom,Xoco,Xoco Woodland Mushroom,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Xoco-Woodland-Mushroom/
3,4,Roast Beef,Al’s Deli,Al’s Deli Roast Beef,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Als-Deli-Roast-Beef/
4,5,PB&L,Publican Quality Meats,Publican Quality Meats PB&L,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Publican-Quality-Meats-PB-L/
5,6,Belgian Chicken Curry Salad,Hendrickx Belgian Bread Crafter,Hendrickx Belgian Bread Crafter Belgian Chicken Curry Salad,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hendrickx-Belgian-Bread-Crafter-Belgian-Chicken-Curry-Salad/
6,7,Lobster Roll,Acadia,Acadia Lobster Roll,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Acadia-Lobster-Roll/
7,8,Smoked Salmon Salad,Birchwood Kitchen,Birchwood Kitchen Smoked Salmon Salad,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Birchwood-Kitchen-Smoked-Salmon-Salad/
8,9,Atomica Cemitas,Cemitas Puebla,Cemitas Puebla Atomica Cemitas,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cemitas-Puebla-Atomica-Cemitas/
9,10,Grilled Laughing Bird Shrimp and Fried Po’ Boy,Nana,Nana Grilled Laughing Bird Shrimp and Fried Po’ Boy,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Nana-Grilled-Laughing-Bird-Shrimp-and-Fried-Oyster-Po-Boy/
10,11,Ham and Raclette Panino,Lula Cafe,Lula Cafe Ham and Raclette Panino,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Lula-Cafe-Ham-and-Raclette-Panino/
11,12,Breaded Steak,Ricobene’s,Ricobene’s Breaded Steak,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Ricobenes-Breaded-Steak/
12,13,The Hawkeye,Frog n Snail,Frog n Snail The Hawkeye,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Frog-n-Snail-The-Hawkeye/
13,14,Chicken Dip,Crosby’s Kitchen,Crosby’s Kitchen Chicken Dip,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Crosbys-Kitchen-Chicken-Dip/
14,15,Wild Boar Sloppy Joe,Longman & Eagle,Longman & Eagle Wild Boar Sloppy Joe,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Longman-and-Eagle-Wild-Boar-Sloppy-Joe/
15,16,Meatball Sub,Bari,Bari Meatball Sub,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bari-Meatball-Sub/
16,17,Corned Beef,Manny’s,Manny’s Corned Beef,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mannys-Corned-Beef/
17,18,Turkey Club,Eggy’s,Eggy’s Turkey Club,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Eggys-Turkey-Club/
18,19,Falafel,Old Jerusalem,Old Jerusalem Falafel,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Jerusalem-Falafel/
19,20,Crab Cake,Mindy’s HotChocolate,Mindy’s HotChocolate Crab Cake,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mindys-HotChocolate-Crab-Cake/
20,21,Chicken Schnitzel,Olga’s Delicatessen,Olga’s Delicatessen Chicken Schnitzel,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Olgas-Delicatessen-Chicken-Schnitzel/
21,22,Shawarma,Dawali Mediterranean Kitchen,Dawali Mediterranean Kitchen Shawarma,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Dawali-Mediterranean-Kitchen-Shawarma/
22,23,Toasted Pimiento Cheese,Big Jones,Big Jones Toasted Pimiento Cheese,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Big-Jones-Toasted-Pimiento-Cheese/
23,24,Vegetarian Panino,La Pane,La Pane Vegetarian Panino,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Pane-Vegetarian-Panino/
24,25,Cali Chèvre,Pastoral,Pastoral Cali Chèvre,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Pastoral-Cali-Chevre/
25,26,Pastrami,Max’s Deli,Max’s Deli Pastrami,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Maxs-Deli-Pastrami/
26,27,The Fredo,Lucky’s Sandwich Co.,Lucky’s Sandwich Co. The Fredo,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Luckys-Sandwich-Co-The-Fredo/
27,28,Smoked Ham,City Provisions,City Provisions Smoked Ham,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-City-Provisions-Smoked-Ham/
28,29,Jibarito,Papa’s Cache Sabroso,Papa’s Cache Sabroso Jibarito,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Papas-Cache-Sabroso-Jibarito/
29,30,Shaved Prime Rib,Bavette’s Bar & Boeuf,Bavette’s Bar & Boeuf Shaved Prime Rib,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bavettes-Bar-and-Boeuf-Shaved-Prime-Rib/
30,31,Serrano Ham and Manchego Cheese,Hannah’s Bretzel,Hannah’s Bretzel Serrano Ham and Manchego Cheese,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hannahs-Bretzel-Serrano-Ham-and-Manchego-Cheese/
31,32,Tuna Salad,La Fournette,La Fournette Tuna Salad,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Fournette-Tuna-Salad/
32,33,Paramount Reuben,Paramount Room,Paramount Room Paramount Reuben,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Paramount-Room-Paramount-Reuben/
33,34,The Istanbul,Melt Sandwich Shoppe,Melt Sandwich Shoppe The Istanbul,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Melt-Sandwich-Shoppe-The-Istanbul/
34,35,B.A.D.,Floriole Cafe & Bakery,Floriole Cafe & Bakery B.A.D.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Floriole-Cafe-and-Bakery-BAD/
35,36,Duck Confit and Mozzarella,First Slice Pie Café,First Slice Pie Café Duck Confit and Mozzarella,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-First-Slice-Pie-Cafe-Duck-Confit-and-Mozzarella/
36,37,Croque Monsieur,Troquet,Troquet Croque Monsieur,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Troquet-Croque-Monsieur/
37,38,Green Garbanzo,Grahamwich,Grahamwich Green Garbanzo,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Grahamwich-Green-Garbanzo/
38,39,The Hen House,Saigon Sisters,Saigon Sisters The Hen House,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Saigon-Sisters-The-Hen-House/
39,40,Tuscan Chicken,Rosalia’s Deli,Rosalia’s Deli Tuscan Chicken,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Rosalias-Deli-Tuscan-Chicken/
40,41,The Marty,Z&H MarketCafe,Z&H MarketCafe The Marty,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Z-and-H-MarketCafe-The-Marty/
41,42,Whitefish,Market House on the Square,Market House on the Square Whitefish,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Market-House-on-the-Square-Whitefish/
42,43,"Oat Bread, Pecan Butter, and Fruit Jam",Elaine’s Coffee Call,"Elaine’s Coffee Call Oat Bread, Pecan Butter, and Fruit Jam",http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Elaines-Coffee-Call-Oat-Bread-Pecan-Butter-and-Fruit-Jam/
43,44,Cauliflower Melt,Marion Street Cheese Market,Marion Street Cheese Market Cauliflower Melt,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Marion-Street-Cheese-Market-Cauliflower-Melt/
44,45,Cubana,Cafecito,Cafecito Cubana,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cafecito-Cubano/
45,46,Kufta,Chickpea,Chickpea Kufta,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Chickpea-Kufta/
46,47,Debbie’s Egg Salad,The Goddess and Grocer,The Goddess and Grocer Debbie’s Egg Salad,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-The-Goddess-and-Grocer-Debbies-Egg-Salad/
47,48,Beef Curry,Zenwich,Zenwich Beef Curry,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Zenwich-Beef-Curry/
48,49,Le Végétarien,Toni Patisserie,Toni Patisserie Le Végétarien,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Toni-Patisserie-Le-Vegetarien/
49,50,The Gatsby,Phoebe’s Bakery,Phoebe’s Bakery The Gatsby,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Phoebes-Bakery-The-Gatsby/
