,code,날짜,종가,전일비,시가,고가,저가,거래량
1,005930,2020-11-20,64500,-100,63900,65200,63900,10665405
2,005930,2020-11-19,64600,-200,64100,64800,63900,16590290
3,005930,2020-11-18,64800,-900,65700,66200,64700,22963790
4,005930,2020-11-17,65700,-600,67000,67000,65600,30204089
5,005930,2020-11-16,66300,3100,64000,66700,63900,36354334
6,005930,2020-11-13,63200,2200,61300,63200,61000,31508829
7,005930,2020-11-12,61000,-300,61000,61400,60700,19800573
8,005930,2020-11-11,61300,1100,60700,61400,60400,25628510
9,005930,2020-11-10,60200,0,60500,60500,59500,19073552
10,005930,2020-11-09,60200,100,60700,60900,60100,15892961
11,005930,2020-11-06,60100,-200,60700,60800,59600,16910230
12,005930,2020-11-05,60300,1800,59000,60300,58800,20639475
13,005930,2020-11-04,58500,-300,58900,59000,57800,21718561
14,005930,2020-11-03,58800,1400,57900,58900,57600,14950919
15,005930,2020-11-02,57400,800,56400,57500,56000,20489076
16,005930,2020-10-30,56600,-1500,58000,58000,56600,26907844
17,005930,2020-10-29,58100,-900,58200,58500,57500,22636966
18,005930,2020-10-28,59000,-800,59400,59400,58800,14428882
19,005930,2020-10-27,59800,-600,60300,60300,59500,17260416
20,005930,2020-10-26,60400,200,60400,61100,60100,13268226
21,005930,2020-10-23,60200,100,60400,60400,59800,9322232
22,005930,2020-10-22,60100,-800,60300,60500,59800,14294095
23,005930,2020-10-21,60900,0,61200,61500,60600,15703443
24,005930,2020-10-20,60900,900,60300,60900,60100,19326115
25,005930,2020-10-19,60000,500,59600,60200,59500,14474985
26,005930,2020-10-16,59500,-500,60000,60400,59000,16554190
27,005930,2020-10-15,60000,-900,60700,60800,59700,17756232
28,005930,2020-10-14,60900,0,61000,61100,60500,16086716
29,005930,2020-10-13,60900,500,61000,61400,60400,19247631
30,005930,2020-10-12,60400,700,60000,60400,59900,16145837
31,005930,2020-10-08,59700,-200,60500,60700,59500,24589924
32,005930,2020-10-07,59900,900,58700,59900,58500,14861838
33,005930,2020-10-06,59000,300,59400,59900,58700,14463826
34,005930,2020-10-05,58700,500,57500,59200,57500,20228289
35,005930,2020-09-29,58200,0,58300,59000,58200,15503563
36,005930,2020-09-28,58200,300,58300,58800,57900,12614080
37,005930,2020-09-25,57900,100,57700,58200,57700,11444683
38,005930,2020-09-24,57800,-800,57700,58600,57600,17564020
39,005930,2020-09-23,58600,400,58400,58800,57400,20111398
40,005930,2020-09-22,58200,-1000,59100,59700,57800,20830381
41,005930,2020-09-21,59200,-100,59100,60000,59000,15140387
42,005930,2020-09-18,59300,-200,59800,59900,59100,18884571
43,005930,2020-09-17,59500,-1500,60700,60800,59300,25108356
44,005930,2020-09-16,61000,0,61100,61300,60600,17041444
45,005930,2020-09-15,61000,600,60900,61000,60500,17877075
46,005930,2020-09-14,60400,1400,60200,60800,59900,20648281
47,005930,2020-09-11,59000,-200,59300,59400,58200,16017098
48,005930,2020-09-10,59200,800,59900,60000,59100,29923293
49,005930,2020-09-09,58400,-300,58200,59300,57800,30597399
50,005930,2020-09-08,58700,2200,57400,58700,57200,31517520
51,005930,2020-09-07,56500,900,56100,57300,55800,18685880
52,005930,2020-09-04,55600,-800,55200,55800,55100,22139109
53,005930,2020-09-03,56400,2000,55600,56700,55500,28384920
54,005930,2020-09-02,54400,200,54600,55100,54100,16905723
55,005930,2020-09-01,54200,200,54100,54800,54100,19363117
56,005930,2020-08-31,54000,-1400,56000,56100,54000,32671367
57,005930,2020-08-28,55400,-200,56100,56300,55400,14619888
58,005930,2020-08-27,55600,-800,56300,56300,55600,16196568
59,005930,2020-08-26,56400,0,56400,56500,55700,17651593
60,005930,2020-08-25,56400,300,56400,56800,56100,14021705
61,005930,2020-08-24,56100,200,55800,56600,55400,15055896
62,005930,2020-08-21,55900,500,56200,56900,55800,21142288
63,005930,2020-08-20,55400,-2400,57600,57600,55300,30386029
64,005930,2020-08-19,57800,-600,59000,59200,57800,16930719
65,005930,2020-08-18,58400,400,58900,59900,58000,25307825
66,005930,2020-08-14,58000,-700,58000,58400,57700,15672548
67,005930,2020-08-13,58700,-300,59400,59600,58000,22089460
68,005930,2020-08-12,59000,800,58200,59000,57700,18573934
69,005930,2020-08-11,58200,400,58000,59500,57800,24907912
70,005930,2020-08-10,57800,300,57600,58300,57500,17774291
71,005930,2020-08-07,57500,-500,57900,58400,57100,18751717
72,005930,2020-08-06,58000,1100,57100,58400,57100,21625874
73,005930,2020-08-05,56900,-400,57300,57500,56300,17739706
74,005930,2020-08-04,57300,500,57200,58100,57000,19419694
75,005930,2020-08-03,56800,-1100,57800,57900,56700,21158940
76,005930,2020-07-31,57900,-1100,59500,59600,57700,21943345
77,005930,2020-07-30,59000,0,59700,60100,59000,19285354
78,005930,2020-07-29,59000,400,60300,60400,58600,36476611
79,005930,2020-07-28,58600,3000,57000,58800,56400,48431566
80,005930,2020-07-27,55600,1400,54300,55700,54300,21054421
81,005930,2020-07-24,54200,100,54000,54400,53700,10994535
82,005930,2020-07-23,54100,-600,54700,54700,53800,16214932
83,005930,2020-07-22,54700,-600,55300,55500,54700,12885057
84,005930,2020-07-21,55300,1100,55200,55400,54800,18297260
85,005930,2020-07-20,54200,-200,54800,54800,54000,10507530
86,005930,2020-07-17,54400,600,54200,54700,54100,10096174
87,005930,2020-07-16,53800,-900,54800,54800,53800,16779127
88,005930,2020-07-15,54700,900,54400,55000,54300,24051450
89,005930,2020-07-14,53800,400,53700,53800,53200,14269484
90,005930,2020-07-13,53400,700,53300,53800,53100,12240188
91,005930,2020-07-10,52700,-100,53100,53200,52300,13714746
92,005930,2020-07-09,52800,-200,53200,53600,52800,17054850
93,005930,2020-07-08,53000,-400,53600,53900,52900,19664652
94,005930,2020-07-07,53400,-1600,55800,55900,53400,30760032
95,005930,2020-07-06,55000,1400,54000,55000,53800,19856623
96,005930,2020-07-03,53600,700,53000,53600,52700,11887868
97,005930,2020-07-02,52900,300,52100,52900,52100,14142583
98,005930,2020-07-01,52600,-200,53400,53600,52400,16706143
99,005930,2020-06-30,52800,400,53900,53900,52800,21157172
100,005930,2020-06-29,52400,-900,52500,53200,52000,17776925
